Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
1, 1, 10.000000,3, ASLQ0110.wav
1, 2, 4.000000,3, ASLQ0110.wav
1, 3, -2.000000,3, ASLQ0107.wav
1, 4, -8.000000,3, ASLQ0102.wav
1, 5, -14.000000,3, ASLQ0101.wav
1, 6, -20.000000,3, ASLQ0109.wav
1, 7, -26.000000,3, ASLQ0106.wav
1, 8, -32.000000,3, ASLQ0108.wav
1, 9, -38.000000,0, ASLQ0104.wav
1, 10, -36.000000,0, ASLQ0104.wav
1, 11, -34.000000,0, ASLQ0104.wav
1, 12, -32.000000,0, ASLQ0104.wav
1, 13, -30.000000,0, ASLQ0104.wav
1, 14, -28.000000,0, ASLQ0104.wav
1, 15, -26.000000,0, ASLQ0104.wav
1, 16, -24.000000,0, ASLQ0104.wav
1, 17, -22.000000,0, ASLQ0104.wav
1, 18, -20.000000,0, ASLQ0104.wav
1, 19, -18.000000,0, ASLQ0104.wav
1, 20, -16.000000,0, ASLQ0104.wav
1, 21, -14.000000,0, ASLQ0104.wav
1, 22, -12.000000,0, ASLQ0104.wav
1, 23, -10.000000,0, ASLQ0104.wav
1, 24, -8.000000,0, ASLQ0104.wav
1, 25, -6.000000,0, ASLQ0104.wav
1, 26, -4.000000,0, ASLQ0104.wav
1, 27, -2.000000,0, ASLQ0104.wav
1, 28, 0.000000,0, ASLQ0104.wav
1, 29, 2.000000,0, ASLQ0104.wav
1, 30, 4.000000,0, ASLQ0104.wav
1, 31, 6.000000,0, ASLQ0104.wav
1, 32, 8.000000,0, ASLQ0104.wav
1, 33, 10.000000,0, ASLQ0104.wav
1, 34, 12.000000,0, ASLQ0104.wav
1, 35, 14.000000,0, ASLQ0104.wav
1, 36, 16.000000,0, ASLQ0104.wav
1, 37, 18.000000,0, ASLQ0104.wav
1, 38, 20.000000,0, ASLQ0104.wav
1, 39, 22.000000,0, ASLQ0104.wav
1, 40, 24.000000,0, ASLQ0104.wav
1, 41, 26.000000,0, ASLQ0104.wav
1, 42, 28.000000,0, ASLQ0104.wav
1, 43, 34.000000,0, ASLQ0104.wav
1, 44, 40.000000,0, ASLQ0104.wav
1, 45, 46.000000,0, ASLQ0104.wav
1, 46, 52.000000,0, ASLQ0104.wav
1, 47, 58.000000,0, ASLQ0104.wav
1, 48, 64.000000,0, ASLQ0104.wav
1, 49, 70.000000,0, ASLQ0104.wav
1, 50, 76.000000,0, ASLQ0104.wav
1, 51, 82.000000,0, ASLQ0104.wav
1, 52, 88.000000,0, ASLQ0104.wav
1, 53, 94.000000,0, ASLQ0104.wav
1, 54, 100.000000,0, ASLQ0104.wav
1, 55, 106.000000,0, ASLQ0104.wav
1, 56, 112.000000,0, ASLQ0104.wav
1, 57, 118.000000,0, ASLQ0104.wav
1, 58, 124.000000,0, ASLQ0104.wav
1, 59, 130.000000,0, ASLQ0104.wav
1, 60, 136.000000,0, ASLQ0104.wav
