Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
2, 2, 10.000000,0, bkbgl02s06.wav
2, 3, 12.000000,0, bkbgl03s09.wav
3, 1, 10.000000,0, bkbgl04s14.wav
3, 2, 12.000000,0, bkbgl03s16.wav
3, 3, 14.000000,0, bkbgl05s14.wav
3, 4, 16.000000,0, bkbgl01s09.wav
3, 5, 18.000000,0, bkbgl01s05.wav
3, 6, 20.000000,0, bkbgl04s07.wav
3, 7, 22.000000,0, bkbgl02s12.wav
3, 8, 24.000000,0, bkbgl04s15.wav
3, 9, 26.000000,0, bkbgl01s02.wav
1, 1, 10.000000,0, bkbgl01s05.wav
3, 1, 10.000000,0, bkbgl02s09.wav
3, 2, 12.000000,0, bkbgl01s02.wav
3, 3, 14.000000,0, bkbgl03s02.wav
3, 4, 16.000000,0, bkbgl01s14.wav
3, 5, 18.000000,0, bkbgl03s12.wav
3, 6, 20.000000,0, bkbgl06s01.wav
3, 7, 22.000000,0, bkbgl04s05.wav
9, 8, 24.000000,0, bkbgl02s12.wav
9, 9, 26.000000,0, bkbgl03s16.wav
9, 10, 28.000000,0, bkbgl03s13.wav
9, 11, 30.000000,0, bkbgl05s09.wav
9, 12, 32.000000,0, bkbgl03s07.wav
9, 13, 34.000000,0, bkbgl05s05.wav
9, 14, 36.000000,0, bkbgl03s10.wav
9, 15, 38.000000,0, bkbgl04s12.wav
9, 16, 40.000000,0, bkbgl06s10.wav
9, 17, 42.000000,0, bkbgl01s12.wav
9, 18, 44.000000,0, bkbgl02s15.wav
9, 19, 46.000000,0, bkbgl04s07.wav
9, 20, 48.000000,0, bkbgl01s05.wav
9, 21, 50.000000,0, bkbgl04s09.wav
9, 22, 52.000000,0, bkbgl05s01.wav
9, 23, 54.000000,0, bkbgl04s13.wav
9, 24, 56.000000,0, bkbgl05s07.wav
9, 25, 58.000000,0, bkbgl06s05.wav
9, 26, 60.000000,0, bkbgl04s16.wav
9, 27, 62.000000,0, bkbgl06s02.wav
9, 28, 64.000000,0, bkbgl05s15.wav
9, 29, 66.000000,0, bkbgl02s08.wav
9, 30, 68.000000,0, bkbgl01s04.wav
9, 31, 70.000000,0, bkbgl01s03.wav
9, 32, 72.000000,0, bkbgl04s11.wav
9, 33, 74.000000,0, bkbgl01s08.wav
